epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,17184.7,0.64593,2.8985,0.25387,0.40593,1.08169,0.97287,0.9784,0.99138,0.90544,0.86665,0.83824,0.85826,0.72011,0.53056,1.83918,0.04693,0.26323,0.96585,0.005149,0.005149,0.005149
51,17509.9,0.64792,2.89862,0.25085,0.40313,1.08333,0.97311,0.9779,0.99152,0.90564,0.86811,0.83965,0.85866,0.72038,0.53027,1.83723,0.04659,0.26266,0.9655,0.00505,0.00505,0.00505
52,17841,0.6469,2.8719,0.24825,0.40345,1.08218,0.97362,0.97746,0.99151,0.90593,0.86769,0.83991,0.85942,0.72155,0.52877,1.82757,0.04613,0.2617,0.964,0.004951,0.004951,0.004951
53,18171.9,0.63642,2.85257,0.24731,0.39623,1.08057,0.97329,0.97797,0.99157,0.90599,0.86827,0.84165,0.85988,0.72268,0.5277,1.82118,0.04592,0.26077,0.96308,0.004852,0.004852,0.004852
54,18486.6,0.64137,2.84595,0.24837,0.39495,1.08037,0.97397,0.97823,0.9916,0.90614,0.86864,0.84264,0.8616,0.72389,0.52669,1.81219,0.04574,0.25982,0.96232,0.004753,0.004753,0.004753
55,18774.1,0.63187,2.80381,0.24567,0.39515,1.0751,0.97365,0.97887,0.99161,0.90651,0.87018,0.84388,0.8657,0.72553,0.52538,1.80387,0.04544,0.25902,0.96146,0.004654,0.004654,0.004654
56,19102.9,0.63224,2.78281,0.24439,0.38955,1.07683,0.97445,0.97836,0.99165,0.90669,0.87179,0.84387,0.86606,0.72643,0.52436,1.79981,0.04518,0.25809,0.96066,0.004555,0.004555,0.004555
57,19440.9,0.63603,2.79604,0.24318,0.38975,1.07734,0.97315,0.98002,0.99169,0.9066,0.87303,0.84388,0.86649,0.72708,0.52358,1.79426,0.04503,0.25727,0.96011,0.004456,0.004456,0.004456
58,19785.8,0.6314,2.75536,0.24228,0.39121,1.07574,0.97282,0.98081,0.99167,0.90716,0.87287,0.84507,0.86691,0.72901,0.52273,1.78746,0.04481,0.25651,0.9597,0.004357,0.004357,0.004357
59,20145.5,0.62972,2.77396,0.24023,0.39051,1.07374,0.97302,0.98053,0.99165,0.90756,0.87212,0.84541,0.86704,0.72944,0.52194,1.78283,0.0446,0.25577,0.95924,0.004258,0.004258,0.004258
60,20508.1,0.62881,2.75069,0.23876,0.38625,1.07312,0.97331,0.98098,0.99165,0.90735,0.87272,0.84746,0.86787,0.7307,0.52107,1.77959,0.04442,0.25537,0.95858,0.004159,0.004159,0.004159
61,20876.3,0.62774,2.73025,0.2396,0.38781,1.07272,0.97285,0.98105,0.99165,0.90763,0.87299,0.84682,0.86803,0.73086,0.52047,1.77668,0.04435,0.25495,0.95827,0.00406,0.00406,0.00406
62,21246.1,0.62431,2.69448,0.23823,0.38569,1.07143,0.97306,0.98055,0.99166,0.9081,0.87266,0.84939,0.86877,0.731,0.51966,1.77249,0.04429,0.25463,0.95785,0.003961,0.003961,0.003961
63,21618.6,0.62126,2.67522,0.23643,0.38375,1.06948,0.97257,0.98089,0.99169,0.90847,0.87335,0.84961,0.86868,0.73096,0.519,1.7681,0.04414,0.25419,0.95737,0.003862,0.003862,0.003862
64,22007.3,0.62158,2.67488,0.23723,0.38093,1.07053,0.97319,0.98099,0.99169,0.90823,0.87295,0.8499,0.86893,0.73138,0.51827,1.76568,0.04405,0.25386,0.95675,0.003763,0.003763,0.003763
